timestamp,open,high,low,close,volume,spread,mid_silver,spread_silver,log_gold,log_silver,rolling_beta,spread_val,spread_zscore,spread_velocity,gold_ret_1,silver_ret_1,target_spread_lead5
2025-07-07 02:32:56.416,3317.0137,3318.0315,3311.795,3311.9302,5000.075703084469,0.59604573,36.822998,0.030002594,8.105287,3.6061225,0.14958660220312447,7.565858987238159,3.641648477117039,-1.6529031139460217,-0.0015515089,-0.0017350912,-2.8473887269914924
2025-07-07 03:03:30.143,3311.945,3312.31,3306.0835,3308.6365,5000.2060651779175,0.5986278,36.721,0.02999878,8.104292,3.6033487,0.27956249211135825,7.096930764430834,2.4838460135970446,-1.1578024635199946,-0.0009945035,-0.002769947,-1.8679558335904551
2025-07-07 03:34:28.502,3308.6565,3315.38,3307.4285,3313.7065,5000.581300616264,0.58694804,36.792,0.02999878,8.105823,3.6052804,0.3320167424963178,6.908809109202503,1.9881302624993433,-0.4957157510977013,0.0015323162,0.0019334555,-1.4075604803212327
2025-07-07 04:09:59.638,3313.83,3314.08,3308.8984,3311.885,4999.548042178154,0.5732016,36.774002,0.030002594,8.105273,3.6047912,0.43063166275988984,6.552936033738183,1.4211881651760003,-0.566942097323343,-0.00054967403,-0.0004891753,-0.8887738514889237
2025-07-07 04:45:00.361,3312.005,3312.4536,3305.3484,3305.58,4998.6476066708565,0.59970766,36.376,0.02999878,8.103367,3.5939093,0.5166098884086949,6.24671778818167,0.9817820512425046,-0.4394061139334957,-0.0019037127,-0.010822952,-0.5793408516552689
2025-07-07 05:08:06.033,3305.585,3310.1714,3305.5464,3310.0967,5000.628249287605,0.59434074,36.541,0.02999878,8.1047325,3.598435,0.547945577401869,6.132986010662081,0.7942597501255466,-0.187522301116958,0.0013663769,0.0045360327,-0.469895807300646
2025-07-07 05:24:35.802,3310.1016,3312.4065,3307.8066,3309.0415,5000.416625857353,0.6315366,36.5825,0.03299713,8.104414,3.59957,0.5796134764576594,6.018054683925268,0.6158901800065896,-0.17836957011895704,-0.00031876564,0.0011357069,-0.2643654991814243
2025-07-07 05:39:49.145,3309.025,3313.1365,3307.9065,3311.1,4998.976220488548,0.6305496,36.572502,0.033000946,8.105036,3.5992966,0.5789033519122077,6.0213909330629996,0.5805697821781106,-0.035320397828478955,0.0006221533,-0.0002732873,-0.12236886542780812
2025-07-07 05:58:54.409,3311.1602,3315.19,3310.76,3314.56,5000.054479300976,0.52954406,36.646,0.02999878,8.10608,3.6013043,0.5812311315369592,6.0128898861941895,0.5324143136870766,-0.048155468491034026,0.0010449886,0.0020096302,-0.046044766766055345
2025-07-07 06:16:02.260,3314.595,3315.295,3311.715,3313.5479,4997.430506706238,0.50097513,36.635002,0.030002594,8.105775,3.6010041,0.6034711392411697,5.932672818521573,0.40244119958723573,-0.12997311409984086,-0.0003053546,-0.0003001094,0.06252831728443614
