timestamp,open,high,low,close,volume,dollar_value,signed_flow,ofi_dollar,quote_imbalance,realized_vol,spread,num_ticks,dxy_price,bond_price,vix_price
2025-07-04 01:40:06.320,3330.8500000000004,3334.675,3325.615,3328.395,1.50177,5000.35771826,-468.0694363,-123.161033955,0.0721571592713102,1.6614252998096205e-05,0.5962937839754494,8462,96.7205,114.3565,18.575000000000003
2025-07-04 03:22:58.186,3329.045,3332.752,3325.885,3331.652,1.50165,5000.19388459,-246.49919247,80.25237189,0.043115865942241,1.634540662441666e-05,0.5782227583885217,8911,96.6545,114.4525,18.575000000000003
2025-07-04 05:04:49.524,3331.075,3342.635,3330.555,3342.025,1.49788,5000.43535925,222.33605419,71.93096538500001,-0.0266800002933539,1.614429732081411e-05,0.5823279899812372,7985,96.5585,114.5155,18.575000000000003
2025-07-04 06:20:00.912,3342.025,3345.335,3338.198,3344.465,1.49651,5000.14871414,384.45364032,165.56862651999998,-0.0297868025648383,1.6406905413139497e-05,0.5767106717426292,8143,96.531,114.5785,18.575000000000003
2025-07-04 07:10:25.762,3343.855,3345.425,3341.545,3341.575,1.4958,5000.29519025,-2549.15318011,-284.42169282,0.4492161927115769,1.1956569869444326e-05,0.4938862112701594,5519,96.5485,114.606,18.575000000000003
2025-07-04 07:44:48.757,3341.565,3342.905,3336.245,3341.915,1.49766,5000.39004358,-1925.67768694,98.322640185,0.4233837246243749,1.6584032159281374e-05,0.5249783845278807,5274,96.5485,114.6415,18.575000000000003
2025-07-04 08:31:16.034,3341.385,3344.475,3340.655,3343.435,1.49595,5000.57034579,-977.44430043,525.69878091,0.3367371961117974,1.5092359671357697e-05,0.551019374724792,4542,96.652,114.6075,18.575000000000003
2025-07-04 09:30:00.704,3343.365,3344.552,3338.015,3338.015,1.49626,5000.33705732,490.67142766,151.991872025,-0.0879097212359108,1.3945342469494056e-05,0.531782221301286,4826,96.608,114.5745,18.575000000000003
2025-07-04 10:35:03.822,3338.015,3338.925,3332.805,3335.835,1.49934,5000.05040661,-65.84397050999993,241.70530799,0.0284399475321208,1.866736457212582e-05,0.6246447028424206,6192,96.5955,114.361,18.575000000000003
2025-07-04 12:10:17.193,3335.198,3338.545,3331.305,3337.725,1.49896,5000.42475958,1535.62933778,468.583977925,-0.1881045964034079,1.5838614744307125e-05,0.6432831934847301,8104,96.662,114.268,18.575000000000003
2025-07-04 13:26:04.160,3337.715,3338.152,3331.209,3334.752,1.4995500000000002,5000.3441166600005,781.61255254,239.302559735,-0.088861597752395,1.690941474147169e-05,0.6703756388416023,8218,96.6775,114.4215,18.575000000000003
2025-07-04 14:45:09.907,3334.855,3338.465,3330.725,3331.048,1.49976,5000.56759965,436.73429519000007,34.89004472999999,-0.0670792603743519,1.6882567507659977e-05,0.6561000474721553,8426,96.6515,114.451,18.575000000000003
2025-07-06 22:25:34.693,3331.048,3343.355,3330.529,3333.285,1.49951,5000.34676426,132.65060870000002,43.24472043999999,0.0028028197099757,2.455970628678685e-05,0.667217702279885,8948,96.6375,114.235,18.575000000000003
2025-07-07 00:36:48.033,3333.225,3336.705,3321.545,3322.765,1.502,5000.0176877,326.19035130000003,-168.284355865,-0.0563532746565314,2.024936112750923e-05,0.6110504120213535,10315,96.6155,114.2645,18.6
