timestamp,open,high,low,close,volume,dollar_value,signed_flow,ofi_dollar,quote_imbalance,realized_vol,spread,num_ticks
2025-07-04 01:40:06.320,3330.8500000000004,3334.675,3325.615,3328.395,1.50177,5000.35771826,-468.0694363,-123.161033955,0.07215715927131026,1.6614252998096205e-05,0.5962937839754494,8462
2025-07-04 03:22:58.186,3329.045,3332.752,3325.885,3331.652,1.50165,5000.19388459,-246.49919247,80.25237189,0.043115865942241004,1.634540662441666e-05,0.5782227583885217,8911
2025-07-04 05:04:49.524,3331.075,3342.635,3330.555,3342.025,1.49788,5000.43535925,222.33605419,71.93096538500001,-0.02668000029335394,1.614429732081411e-05,0.5823279899812372,7985
2025-07-04 06:20:00.912,3342.025,3345.335,3338.198,3344.465,1.49651,5000.14871414,384.45364032000003,165.56862651999998,-0.02978680256483832,1.6406905413139497e-05,0.5767106717426292,8143
2025-07-04 07:10:25.762,3343.855,3345.425,3341.545,3341.575,1.4958,5000.29519025,-2549.15318011,-284.42169282,0.4492161927115769,1.1956569869444326e-05,0.4938862112701594,5519
2025-07-04 07:44:48.757,3341.565,3342.905,3336.245,3341.915,1.49766,5000.39004358,-1925.6776869399998,98.322640185,0.42338372462437496,1.6584032159281374e-05,0.5249783845278807,5274
2025-07-04 08:31:16.034,3341.385,3344.475,3340.655,3343.435,1.49595,5000.57034579,-977.4443004299999,525.69878091,0.3367371961117974,1.5092359671357695e-05,0.551019374724792,4542
2025-07-04 09:30:00.704,3343.365,3344.552,3338.015,3338.015,1.49626,5000.33705732,490.67142765999995,151.991872025,-0.08790972123591087,1.3945342469494057e-05,0.531782221301286,4826
2025-07-04 10:35:03.822,3338.015,3338.925,3332.805,3335.835,1.4993400000000001,5000.05040661,-65.84397050999993,241.70530799,0.028439947532120844,1.866736457212582e-05,0.6246447028424206,6192
2025-07-04 12:10:17.193,3335.198,3338.545,3331.305,3337.725,1.49896,5000.42475958,1535.62933778,468.583977925,-0.18810459640340796,1.5838614744307125e-05,0.6432831934847301,8104
2025-07-04 13:26:04.160,3337.715,3338.152,3331.209,3334.752,1.4995500000000002,5000.3441166600005,781.61255254,239.30255973500002,-0.08886159775239504,1.690941474147169e-05,0.6703756388416023,8218
2025-07-04 14:45:09.907,3334.855,3338.465,3330.725,3331.048,1.49976,5000.56759965,436.73429519000007,34.89004472999999,-0.06707926037435195,1.6882567507659977e-05,0.6561000474721553,8426
2025-07-06 22:25:34.693,3331.048,3343.355,3330.529,3333.285,1.4995100000000001,5000.34676426,132.65060870000002,43.24472043999999,0.0028028197099757308,2.4559706286786854e-05,0.667217702279885,8948
