sym,net,reason,month,cap_after,pos_notional
NEARUSDT,2.3200322048435695,TIME_EXIT,2026-01,1002.1600322048434,400.0
NEARUSDT,3.1901793396064937,TIME_EXIT,2026-01,1005.1898659392971,400.8640128819374
NEARUSDT,3.436783074377805,TIME_EXIT,2026-01,1008.4658186351246,402.07594637571884
NEARUSDT,1.7859955131743555,TIME_EXIT,2026-01,1010.0904596173174,403.3863274540499
NEARUSDT,-3.2662290420629736,STALL_KILL,2026-01,1006.6626161017157,404.036183846927
NEARUSDT,5.155765430239488,TIME_EXIT,2026-01,1011.657315513379,402.6650464406863
ATOMUSDT,-3.164517202349602,STALL_KILL,2026-01,1008.3309331405474,404.6629262053516
RENDERUSDT,6.693501325560545,TIME_EXIT,2026-01,1014.8631015168054,403.33237325621894
NEARUSDT,4.56155087409565,TIME_EXIT,2026-01,1019.2622742946584,405.94524060672217
NEARUSDT,-5.055540880501485,STOP_LOSS,2026-01,769.3881153198886,407.70490971786336
ATOMUSDT,3.091731586756711,TIME_EXIT,2026-01,1017.0375599518085,244.55771304516315
NEARUSDT,4.026389050530349,TIME_EXIT,2026-01,776.7796894385556,406.8150239807234
ATOMUSDT,1.9041663675903824,TIME_EXIT,2026-01,1022.7077797907431,244.0239239845971
RENDERUSDT,-0.7029062649647368,TIME_EXIT,2026-01,1021.8412402810118,409.08311191629724
ATOMUSDT,-5.068332551793792,STOP_LOSS,2026-01,624.2093443772478,408.7364961124047
NEARUSDT,-3.040188597867997,STOP_LOSS,2026-01,866.3456556074447,245.17649982806483
RENDERUSDT,-1.8236267285451384,STOP_LOSS,2026-01,1011.588700535766,147.06667165686642
ATOMUSDT,4.029247553015777,TIME_EXIT,2026-01,772.6424608263658,404.6354802143064
NEARUSDT,3.7241194199264025,TIME_EXIT,2026-01,1019.0831266980417,242.7165464517495
NEARUSDT,7.839662075401074,TIME_EXIT,2026-01,1026.759735473171,407.6332506792167
NEARUSDT,-0.8912987995116219,TIME_EXIT,2026-01,1025.7041551159837,410.70389418926845
ATOMUSDT,3.528712648065045,TIME_EXIT,2026-01,1029.0687550992302,410.2816620463935
NEARUSDT,-5.10418102529217,STOP_LOSS,2026-01,1023.7999230731222,411.6275020396921
ATOMUSDT,6.130453427955631,TIME_EXIT,2026-01,1029.7665685133861,409.5199692292489
ATOMUSDT,-0.3294923559832969,TIME_EXIT,2026-02,1029.2723135064407,411.90662740535447
NEARUSDT,3.6584979095980605,TIME_EXIT,2026-02,1032.7661278458777,411.7089254025763
NEARUSDT,2.3710326391266197,TIME_EXIT,2026-02,1034.971917904549,413.1064511383511
NEARUSDT,0.24839326029705644,PROFIT_LOCK,2026-02,1035.0547156579812,413.9887671618196
RENDERUSDT,1.6236024984026152,TIME_EXIT,2026-02,1036.5127094018785,414.0218862631925
RENDERUSDT,2.278533471253619,TIME_EXIT,2026-02,789.8292087112015,414.6050837607514
NEARUSDT,0.5202445498840373,TIME_EXIT,2026-02,1039.0461667041347,248.69671344304913
ATOMUSDT,-5.406964522401172,STOP_LOSS,2026-02,1033.472954795061,415.6184666816539
