Month,Net_Profit,Ending_Capital,Trades,WinRate,PF,Dur
2026-01,33.3,1029.77,24,62.5%,2.18,61.1s
2026-02,4.34,1032.68,9,66.7%,1.68,20.1s
2026-03,1.68,1032.12,14,57.1%,1.13,15.9s
2026-04,17.55,1047.72,12,58.3%,2.91,11.7s
2026-05,-18.97,1027.82,6,0.0%,0.0,11.5s
2026-06,23.02,1049.67,7,57.1%,3.92,11.3s
2026-07,-13.47,1034.33,12,41.7%,0.26,14.5s
2026-08,4.65,1036.93,15,46.7%,1.28,14.5s
