month,net,cap,trades,m_ret
2024-01,0.0,1000.0,0,0.0
2024-02,195.70283584393292,1195.702835843933,55,19.5702835843933
2024-03,161.3615582144962,1357.0643940584291,60,13.495122147185201
2024-04,254.9488172114668,1612.013211269896,51,18.786788477223126
2024-05,142.80363727055942,1754.8168485404553,32,8.858713828906083
2024-06,238.2165160726213,1993.0333646130766,47,13.575007344541667
2024-07,-17.263403919231678,1975.769960693845,3,-0.866187401864349
2024-08,159.13464915123313,2134.904609845078,16,8.05431058863495
2024-09,72.7190664066361,2207.623676251714,4,3.406197451225368
2024-10,261.41011576133906,2469.0337920130532,16,11.841244437330122
2024-11,331.41796276092873,2800.451754773982,78,13.42298205204866
2024-12,374.1271168006715,3174.5788715746535,63,13.3595273035106
2025-01,193.4822821811481,3368.0611537558016,29,6.094738546696665
2025-02,168.5982542203651,3536.6594079761667,30,5.005795516282641
2025-03,307.3253816856891,3843.9847896618558,22,8.689708174685506
2025-04,232.60026287568553,4076.5850525375413,29,6.05101933548875
2025-05,298.5816515031461,4375.166704040687,48,7.3243081563400425
2025-06,288.6053955853613,4663.772099626049,20,6.596443406803676
2025-07,1233.6866458151817,5897.45874544123,62,26.452549984466465
2025-08,338.8037547008089,6236.262500142039,27,5.744910974794126
2025-09,292.20770786097364,6528.470208003013,16,4.68562232353622
2025-10,124.87384322917478,6653.344051232188,7,1.9127581079576128
2025-11,1139.8208008529955,7793.164852085183,52,17.131547565797423
2025-12,520.3665030917746,8313.531355176958,13,6.677216676002207
2026-01,624.2172578223872,8937.748612999345,32,7.508448950922375
2026-02,311.8140897409321,9249.562702740277,13,3.4887319306275755
2026-03,275.93901177931184,9525.501714519589,18,2.9832654866760677
2026-04,1563.4909088736167,11088.992623393206,33,16.413738149775448
2026-05,2418.3416902764748,13507.33431366968,55,21.808488583307106
2026-06,1302.8054791922623,14810.139792861943,44,9.645170904475187
2026-07,625.116073683992,15435.255866545935,24,4.22086545047522
2026-08,621.2020434376882,16056.457909983623,41,4.024565895172949
