month,net,cap,trades,m_ret
2024-01,34.5953637518478,1034.5953637518478,57,3.4595363751847907
2024-02,244.5875625209369,1279.1829262727847,70,23.64089102757687
2024-03,99.74839724213393,1378.9313235149186,59,7.79782118674579
2024-04,47.39929864543683,1426.3306221603555,30,3.4373937147656575
2024-05,63.47097762025669,1489.8015997806122,36,4.449948464551778
2024-06,99.79952301380604,1589.6011227944182,43,6.698846546312098
2024-07,-13.768924665539316,1575.8321981288789,3,-0.8661874018643378
2024-08,138.7627007904573,1714.5948989193362,17,8.805677467132744
2024-09,111.50138945970502,1826.0962883790412,8,6.503074838842782
2024-10,221.71275532612572,2047.809043705167,11,12.141350745689984
2024-11,271.4369473107299,2319.245991015897,80,13.25499309347762
2024-12,125.7804210974864,2445.0264121133832,70,5.42333247894895
2025-01,87.02562617740841,2532.0520382907916,21,3.5592918647527894
2025-02,103.46937612397096,2635.5214144147626,25,4.086384266960641
2025-03,195.63531439073495,2831.1567288054976,23,7.423021240530403
2025-04,117.2730435795279,2948.4297723850254,28,4.1422307139106
2025-05,248.33469288994365,3196.764465274969,50,8.42260837330584
2025-06,250.41858525209682,3447.183050527066,22,7.8335012783169455
2025-07,1050.8782582737754,4498.061308800841,70,30.485130695716855
2025-08,-58.9669840409606,4439.094324759881,18,-1.3109422036019502
2025-09,112.73678263729562,4551.831107397176,21,2.539634763075105
2025-10,-8.726474716899247,4543.104632680277,7,-0.19171349971043306
2025-11,816.0316943383195,5359.136327018597,51,17.961983276112402
2025-12,563.7854087232581,5922.921735741855,17,10.520079623294532
2026-01,745.1652965523699,6668.087032294225,40,12.581042428024535
2026-02,29.245254547355216,6697.33228684158,13,0.438585375471523
2026-03,75.87261667256098,6773.204903514141,22,1.1328781882546046
2026-04,1132.8842936631663,7906.089197177307,32,16.72597108461007
2026-05,1026.3052567834693,8932.394453960776,47,12.981200074872534
2026-06,1158.4347045795657,10090.829158540342,37,12.968915675974158
2026-07,-25.694674732818385,10065.134483807524,27,-0.25463392877950186
2026-08,299.669876923781,10364.804360731305,37,2.9773062387380866
