sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,cap_after
ICPUSDT,2024-01,13.967290367999997,6.499999999999995,TAKE_PROFIT,12.720544012069702,13.547379372854232,217.55904000000004,545.8678258052629
OPUSDT,2024-01,-3.8509789904355185,-1.1234309345111049,STALL_EXIT,3.875775,3.8322333446979524,320.0,862.1448468148274
FILUSDT,2024-01,-1.453800775207169,-0.902880246414417,STALL_EXIT,7.415482834339142,7.348529904651642,147.91229964288001,545.0233729051538
ICPUSDT,2024-01,12.04182741473757,6.499999999999995,TAKE_PROFIT,13.171633471870422,14.027789647541999,187.5674052139809,570.2303901745768
FILUSDT,2024-01,1.2557338511734852,0.8000000000000007,TRAILING_LOCK,7.352470032119751,7.411289792376709,174.40747932964922,745.9633663471313
POLUSDT,2024-01,-4.0229678324722835,-1.3781974853671053,STALL_EXIT,0.9861972014307976,0.9726054563999176,275.88635098074474,1017.9371040357961
SEIUSDT,2024-01,-7.426869111045163,-2.200000000000002,STOP_LOSS,0.7058411202549935,0.6903126156093836,325.7398732914548,1010.5102349247509
ENSUSDT,2024-01,-7.372682674010975,-2.200000000000002,STOP_LOSS,13.842768152618408,13.538227253260803,323.3632751759203,1003.1375522507399
TIAUSDT,2024-01,-7.318891581221398,-2.200000000000002,STOP_LOSS,15.358371009635926,15.020486847423935,321.0040167202368,995.8186606695185
RENDERUSDT,2024-01,2.294366194182551,0.8000000000000007,TRAILING_LOCK,4.015802866458893,4.047929289390564,318.66197141424595,634.0242696354511
APTUSDT,2024-01,-3.3582992812938066,-2.200000000000002,STOP_LOSS,10.039407725715638,9.818540755749893,147.29382812692126,778.0187160123294
TIAUSDT,2024-01,0.9099272776832301,0.49999999999998934,TRAILING_LOCK,15.502799532508849,15.580313530171392,216.6493518293462,995.6646548600905
SEIUSDT,2024-01,1.3381732961319364,0.49999999999998934,TRAILING_LOCK,0.6800359705567359,0.6834361504095195,318.612689555229,997.0028281562224
FILUSDT,2024-01,1.3399718010419408,0.49999999999998934,TRAILING_LOCK,5.93118582830429,5.960841757445811,319.0409050099912,998.3427999572643
ENSUSDT,2024-01,20.50995448232204,6.499999999999995,TAKE_PROFIT,12.272454457855224,13.070163997615813,319.4696959863246,1018.8527544395863
SEIUSDT,2024-01,-3.4359794690714427,-2.200000000000013,STOP_LOSS,0.652130410015583,0.6377835409952402,150.70085390664173,467.50418898918394
ENSUSDT,2024-01,1.5959565155320783,0.8000000000000007,TRAILING_LOCK,12.662531847381592,12.763832102160645,221.6606271572321,690.849436912811
ICPUSDT,2024-01,2.672180059000215,1.2887384367991528,TRAILING_LOCK,11.639327483940125,11.78932797101059,221.07181981209953,543.1609564764078
SOLUSDT,2024-01,-3.3840464638319823,-0.9579463718770387,STALL_EXIT,92.57850955810547,91.69165708465576,326.03288142066765,865.9402045858117
ORDIUSDT,2024-01,1.9144912365649627,1.3537753523755969,TRAILING_LOCK,67.48849347381592,68.40213606415405,150.30054027929174,1018.2153563177801
NEARUSDT,2024-01,-7.428899239694511,-2.199999999999991,STOP_LOSS,3.2356468950748445,3.164462663383198,325.8289140216896,638.5090753475467
GALAUSDT,2024-01,-3.433829907370181,-2.199999999999991,STOP_LOSS,0.024994997830688953,0.024445107878413797,150.60657488465733,785.7420629547878
AVAXUSDT,2024-01,-5.050700583889604,-2.200000000000002,STOP_LOSS,33.776754457855226,33.03366585978241,221.5219554337542,1002.3019265868259
BONKUSDT,2024-01,1.3470937893326567,0.49999999999998934,TRAILING_LOCK,1.2722544086136623e-05,1.2786156806567304e-05,320.7366165077843,1003.6490203761584
NEARUSDT,2024-01,0.9170822529538677,0.49999999999998934,TRAILING_LOCK,3.2416481370449066,3.2578563777301306,218.3529173699775,534.7585335821169
TIAUSDT,2024-01,2.9091600935545445,1.780043051479785,TRAILING_LOCK,15.523104457855224,15.799422400131224,171.12273074627743,537.6676936756714
SOLUSDT,2024-01,-1.232800233563215,-0.7504367377436427,STALL_EXIT,98.50969586334229,97.77044291534423,148.4520346381613,684.9463088941247
BONKUSDT,2024-01,0.9205678391536694,0.49999999999998934,TRAILING_LOCK,1.4982995832542656e-05,1.5057910811705367e-05,219.18281884611991,685.8668767332784
LTCUSDT,2024-01,20.618965474607766,6.499999999999995,TAKE_PROFIT,64.79295477905274,69.00449683969116,321.1676865203707,1027.7819958028651
ENSUSDT,2024-01,11.953669498598629,3.71454675560261,TRAILING_LOCK,22.494497771072385,23.330066408216855,328.89023865691684,1039.7356653014638
ENSUSDT,2024-01,-7.585911414039474,-2.200000000000002,STOP_LOSS,21.71434108428955,21.23662558043518,332.7154128964684,1032.1497538874241
ENSUSDT,2024-01,2.3780730329566175,0.8000000000000007,TRAILING_LOCK,24.79495891571045,24.993318587036132,330.28792124397575,1034.5278269203807
TIAUSDT,2024-01,2.3835521132245665,0.8000000000000007,TRAILING_LOCK,18.37197314414978,18.51894892930298,331.0489046145218,811.7504698031698
ORDIUSDT,2024-01,1.6205103423222267,0.8000000000000007,TRAILING_LOCK,72.53650757446289,73.1167996350586,225.07088087808418,1038.5318893759274
OPUSDT,2024-01,-2.9903069919682386,-0.8197999431212577,STALL_EXIT,3.461692165660858,3.4333132152557373,332.3302046002968,1035.5415823839592
SEIUSDT,2024-01,1.3917678867240266,0.49999999999998934,TRAILING_LOCK,0.789257811319828,0.7932041003764271,331.3733063628669,1036.9333502706831
ORDIUSDT,2024-01,-2.1376443604264663,-0.564220636224011,STALL_EXIT,73.9987979598999,73.58128147125244,331.8186720866186,655.6746974981929
ENSUSDT,2024-01,1.1043014141875267,0.8000000000000007,TRAILING_LOCK,22.80455923690796,22.986995710803225,153.37519641493273,810.2155454058792
SEIUSDT,2024-01,14.48314919549367,6.499999999999995,TAKE_PROFIT,0.7713542412400245,0.821492266920626,225.59422422887357,1050.383156519938
OPUSDT,2024-01,-3.5423126106638656,-2.200000000000002,STOP_LOSS,3.272654474401474,3.200656075964641,155.36458818701118,481.97202547374604
RENDERUSDT,2024-01,-7.66359550996944,-2.199999999999991,STOP_LOSS,4.111822261047363,4.021362171304322,336.1226100863802,810.5654890941913
