sym,month,entry_i,exit_i,entry_px,exit_px,pnl_pct,gross,net,entry_fee,exit_fee,reason,post_mfe,cap_after,entry_time,exit_time
JUPUSDT,2024-02,157,219,0.58951788,0.58168364,-1.3289232211243673,-4.252554307597986,-4.508554307597986,0.128,0.128,STALL_EXIT,2.9597462978329667,995.4914456924021,2024-02-01 13:05,2024-02-01 18:15
JUPUSDT,2024-02,318,339,0.59081814,0.57782014092,-2.200000000000002,-7.008259777674505,-7.26310558777176,0.12742290504862747,0.12742290504862747,STOP_LOSS,5.655714774491499,988.2283401046304,2024-02-02 02:30,2024-02-02 04:15
JUPUSDT,2024-02,603,610,0.58371672,0.57087495216,-2.200000000000002,-6.957127514336609,-7.210113969403395,0.1264932275333927,0.1264932275333927,STOP_LOSS,6.853523296470433,981.018226135227,2024-02-03 02:15,2024-02-03 02:50
ORDIUSDT,2024-02,952,954,52.910579999999996,51.74654724,-2.199999999999991,-3.1923025600232804,-3.308386289478672,0.05804186472769612,0.05804186472769612,STOP_LOSS,2.018400870604635,450.1436818956472,2024-02-04 07:20,2024-02-04 07:30
XRPUSDT,2024-02,905,965,0.5186037,0.5113977,-1.3895003063032596,-2.9656019374803715,-3.136345444280758,0.08537175340019316,0.08537175340019316,STALL_EXIT,0.5479688313029244,660.5220917052495,2024-02-04 03:25,2024-02-04 08:25
DOGEUSDT,2024-02,720,1135,0.079045806,0.079678172448,0.8000000000000007,2.511406658906211,2.260265993015593,0.12557033294530906,0.12557033294530906,TRAILING_LOCK,-1.3782600858681864,976.8337603944831,2024-02-03 12:00,2024-02-04 22:35
BONKUSDT,2024-02,1168,1301,9.721944e-06,1.035387036e-05,6.499999999999995,13.813735984815889,13.643720772695076,0.0850076060604055,0.0850076060604055,TAKE_PROFIT,2.6669219373923143,677.765643119613,2024-02-05 01:20,2024-02-05 12:25
INJUSDT,2024-02,1136,1345,32.406479999999995,32.193560000000005,-0.6570290880095309,-2.0537862231324935,-2.3038556657934812,0.12503472133049384,0.12503472133049384,STALL_EXIT,0.641246261674675,988.1736255013845,2024-02-04 22:40,2024-02-05 16:05
JUPUSDT,2024-02,1569,1592,0.5166033,0.5207361264,0.8000000000000007,2.529724481283552,2.2767520331551974,0.12648622406417726,0.12648622406417726,TRAILING_LOCK,1.337313323764039,990.4503775345397,2024-02-06 10:45,2024-02-06 12:40
ENSUSDT,2024-02,1781,1788,21.474293999999997,21.001859531999997,-2.200000000000002,-6.972770657843152,-7.226325954491995,0.1267776483244211,0.1267776483244211,STOP_LOSS,3.7527175476968226,983.2240515800477,2024-02-07 04:25,2024-02-07 05:00
JUPUSDT,2024-02,1937,1970,0.57081414,0.57538065312,0.8000000000000007,2.517053572044924,2.265348214840432,0.1258526786022461,0.1258526786022461,TRAILING_LOCK,-1.352261859659238,985.4893997948881,2024-02-07 17:25,2024-02-07 20:10
JUPUSDT,2024-02,2302,2316,0.50730144,0.49614080831999996,-2.200000000000002,-3.206852074741565,-3.3234648774594393,0.05830640135893738,0.05830640135893738,STOP_LOSS,2.793398859273268,452.19529573923876,2024-02-08 23:50,2024-02-09 01:00
ORDIUSDT,2024-02,2270,2372,59.1638304,63.009479376,6.499999999999995,13.93613830372088,13.764616601521238,0.08576085109982082,0.08576085109982082,TAKE_PROFIT,1.5275806648969377,680.4478009414119,2024-02-08 21:10,2024-02-09 05:40
ORDIUSDT,2024-02,2483,2532,62.2104396,62.7854747248,0.9243386294926603,2.0126854008431216,1.8384907638021204,0.08709731852050072,0.08709731852050072,TRAILING_LOCK,0.25567263113580385,682.286291705214,2024-02-09 14:55,2024-02-09 19:00
ORDIUSDT,2024-02,2723,3355,60.6201216,64.560429504,6.499999999999995,14.191554867468456,14.01688957679192,0.0873326453382674,0.0873326453382674,TAKE_PROFIT,9.043574432289457,696.3031812820059,2024-02-10 10:55,2024-02-12 15:35
JUPUSDT,2024-02,3503,3618,0.49379874,0.48900218,-0.9713593031849377,-2.164353833521744,-2.3426074479299372,0.08912680720409676,0.08912680720409676,STALL_EXIT,0.9811449102333262,693.9605738340758,2024-02-13 03:55,2024-02-13 13:30
INJUSDT,2024-02,3619,3628,35.527104,34.745507712,-2.200000000000013,-3.321502717306207,-3.4422846342991598,0.060390958496476264,0.060390958496476264,STOP_LOSS,2.3441657400755265,468.3620786194216,2024-02-13 13:35,2024-02-13 14:20
TIAUSDT,2024-02,3619,3657,19.15743072,19.31069016576,0.8000000000000007,1.7765390690152323,1.5988851621137088,0.08882695345076172,0.08882695345076172,TRAILING_LOCK,-1.2003204637967284,692.1171743618903,2024-02-13 13:35,2024-02-13 16:45
INJUSDT,2024-02,3926,4102,34.866972,34.283142,-1.6744499637077692,-3.7085298479737374,-3.8857118446103818,0.08859099831832197,0.08859099831832197,STALL_EXIT,1.8576418695812762,688.2314625172799,2024-02-14 15:10,2024-02-15 05:50
TRXUSDT,2024-02,2103,4125,0.12267452999999999,0.13064837445,6.499999999999995,20.498179515733682,20.245894229386188,0.12614264317374568,0.12614264317374568,TAKE_PROFIT,0.8661612169029288,1023.960107324204,2024-02-08 07:15,2024-02-15 07:45
ORDIUSDT,2024-02,4219,4284,69.168831,68.8142344,-0.512653741393998,-1.1420478544190806,-1.3202652767772811,0.08910871117910034,0.08910871117910034,STALL_EXIT,0.8672124382451861,543.324664075364,2024-02-15 15:35,2024-02-15 21:00
INJUSDT,2024-02,4222,4396,33.696737999999996,35.887025969999996,6.499999999999995,9.844659124098062,9.723494088724546,0.0605825176867573,0.0605825176867573,TAKE_PROFIT,0.3705351067852973,704.5650348986685,2024-02-15 15:50,2024-02-16 06:20
